Beer,beer/,,,,,,,,,,
Sake,sake/,,,,,,,,,,
Brandy,brandy/,,,,,,,,,,
Champagne & Sparkling Wines,champagne_and_sparkling_wine/,,,,,,,,,,
Gin,gin/,,,,,,,,,,
Liqueurs,liqueurs/,,,,,,,,,,
#Beer Drinks,,,,,,,,,,,
Merry Widow,merry_widow.txt,10023,10082,10251,,,,,,,
Mexican Flag,mexican_flag.txt,10185,10063,10326,,,,,,,
Milano,milano.txt,10104,10028,10144,,,,,,,
Mind Eraser,mind_eraser.txt,10055,10330,10117,,,,,,,
Mocha Mint,mocha_mint.txt,10055,10064,10052,,,,,,,
Moulin Rouge,moulin_rouge.txt,10111,10360,10011,,,,,,,
Nutty Irishman,nutty_irishman.txt,10058,10068,,,,,,,,
Oatmeal Cookie,oatmeal_cookie.txt,10309,10105,10058,10040,10134,10217,,,,
Paris Rainbow,paris_rainbow.txt,10059,10061,10082,10063,10048,10087,10023,,,
Peppermint Stick,peppermint_stick.txt,10052,10314,10134,,,,,,,
Pernod Cocktail,pernod_cocktail.txt,10221,10011,10041,,,,,,,
Pimm's Cup,pimms_cup.txt,10109,10117,10273,10248,,,,,,
Pink Squirrel,pink_squirrel.txt,10052,10032,10134,,,,,,,
Pousse Cafe 1,pousse_cafe_1.txt,10185,10048,10061,10062,10047,10013,,,,
Pousse Cafe 2,pousse_cafe_2.txt,10191,10037,10108,10059,10048,10047,10013,,,
Queen Elizabeth Wine,queen_elizabeth_wine.txt,10044,10358,10144,10248,,,,,,
San Francisco Cocktail,san_francisco_cocktail.txt,10111,10358,10360,10012,10251,,,,,
Screaming Orgasm,screaming_orgasm.txt,10055,10057,10031,10330,,,,,,
Sknny Dipper,skinny_dipper.txt,10083,10141,10248,,,,,,,
Slippery Nipple,slippery_nipple.txt,10058,10042,,,,,,,,
Sloe Gin Fizz,sloe_gin_fizz.txt,10111,10144,10192,10117,10251,,,,,
Sloe Screw,sloe_screw.txt,10111,10150,,,,,,,,
Sombrero,sombrero.txt,10054,10134,,,,,,,,
Toasted Almond,toasted_almond.txt,10031,10055,10134,,,,,,,
Traditional Cafe Style Absinthe,traditional_cafe_style_absinthe.txt,10000,10224,,,,,,,,
Velvet Hammer,velvet_hammer.txt,10092,10052,10013,10134,,,,,,
Yellow Parrot Cocktail,yellow_parrot_cocktail.txt,10048,10041,10021,,,,,,,
